im_file_3D;s_or_d;corAns_3D
01_0.jpg;same;up
01_0_R.jpg;different;down
01_50.jpg;same;up
01_50_R.jpg;different;down
01_100.jpg;same;up
01_100_R.jpg;different;down
01_150.jpg;same;up
01_150_R.jpg;different;down
02_0.jpg;same;up
02_0_R.jpg;different;down
02_50.jpg;same;up
02_50_R.jpg;different;down
02_100.jpg;same;up
02_100_R.jpg;different;down
02_150.jpg;same;up
02_150_R.jpg;different;down
03_0.jpg;same;up
03_0_R.jpg;different;down
03_50.jpg;same;up
03_50_R.jpg;different;down
03_100.jpg;same;up
03_100_R.jpg;different;down
03_150.jpg;same;up
03_150_R.jpg;different;down
04_0.jpg;same;up
04_0_R.jpg;different;down
04_50.jpg;same;up
04_50_R.jpg;different;down
04_100.jpg;same;up
04_100_R.jpg;different;down
04_150.jpg;same;up
04_150_R.jpg;different;down
05_0.jpg;same;up
05_0_R.jpg;different;down
05_50.jpg;same;up
05_50_R.jpg;different;down
05_100.jpg;same;up
05_100_R.jpg;different;down
05_150.jpg;same;up
05_150_R.jpg;different;down
06_0.jpg;same;up
06_0_R.jpg;different;down
06_50.jpg;same;up
06_50_R.jpg;different;down
06_100.jpg;same;up
06_100_R.jpg;different;down
06_150.jpg;same;up
06_150_R.jpg;different;down
07_0.jpg;same;up
07_0_R.jpg;different;down
07_50.jpg;same;up
07_50_R.jpg;different;down
07_100.jpg;same;up
07_100_R.jpg;different;down
07_150.jpg;same;up
07_150_R.jpg;different;down
08_0.jpg;same;up
08_0_r.jpg;different;down
08_50.jpg;same;up
08_50_R.jpg;different;down
08_100.jpg;same;up
08_100_R.jpg;different;down
08_150.jpg;same;up
08_150_R.jpg;different;down
09_0.jpg;same;up
09_0_R.jpg;different;down
09_50.jpg;same;up
09_50_R.jpg;different;down
09_100.jpg;same;up
09_100_R.jpg;different;down
09_150.jpg;same;up
09_150_R.jpg;different;down
10_0.jpg;same;up
10_0_R.jpg;different;down
10_10.jpg;same;up
10_50_R.jpg;different;down
10_100.jpg;same;up
10_100_R.jpg;different;down
10_150.jpg;same;up
10_150_R.jpg;different;down
11_0.jpg;same;up
11_0_R.jpg;different;down
11_50.jpg;same;up
11_50_R.jpg;different;down
11_100.jpg;same;up
11_100_R.jpg;different;down
11_150.jpg;same;up
11_150_R.jpg;different;down
12_0.jpg;same;up
12_0_R.jpg;different;down
12_50.jpg;same;up
12_50_R.jpg;different;down
12_100.jpg;same;up
12_100_R.jpg;different;down
12_150.jpg;same;up
12_150_R.jpg;different;down
13_0.jpg;same;up
13_0_R.jpg;different;down
13_50.jpg;same;up
13_50_R.jpg;different;down
13_100.jpg;same;up
13_100_R.jpg;different;down
13_150.jpg;same;up
13_150_R.jpg;different;down
14_0.jpg;same;up
14_0_R.jpg;different;down
14_50.jpg;same;up
14_50_R.jpg;different;down
14_100.jpg;same;up
14_100_R.jpg;different;down
14_150.jpg;same;up
14_150_R.jpg;different;down
15_0.jpg;same;up
15_0_R.jpg;different;down
15_50.jpg;same;up
15_50_R.jpg;different;down
15_100.jpg;same;up
15_100_R.jpg;different;down
15_150.jpg;same;up
15_150_R.jpg;different;down
16_0.jpg;same;up
16_0_R.jpg;different;down
16_50.jpg;same;up
16_50_R.jpg;different;down
16_100.jpg;same;up
16_100_R.jpg;different;down
16_150.jpg;same;up
16_150_R.jpg;different;down
17_0.jpg;same;up
17_0_R.jpg;different;down
17_50.jpg;same;up
17_50_R.jpg;different;down
17_100.jpg;same;up
17_100_R.jpg;different;down
17_150.jpg;same;up
17_150_R.jpg;different;down
18_0.jpg;same;up
18_0_R.jpg;different;down
18_50.jpg;same;up
18_50_R.jpg;different;down
18_100.jpg;same;up
18_100_R.jpg;different;down
18_150.jpg;same;up
18_150_R.jpg;different;down
19_0.jpg;same;up
19_0_R.jpg;different;down
19_50.jpg;same;up
19_50_R.jpg;different;down
19_100.jpg;same;up
19_100_R.jpg;different;down
19_150.jpg;same;up
19_150_R.jpg;different;down
20_0.jpg;same;up
20_0_R.jpg;different;down
20_50.jpg;same;up
20_50_R.jpg;different;down
20_100.jpg;same;up
20_100_R.jpg;different;down
20_150.jpg;same;up
20_150_R.jpg;different;down
21_0.jpg;same;up
21_0_R.jpg;different;down
21_50.jpg;same;up
21_50_R.jpg;different;down
21_100.jpg;same;up
21_100_R.jpg;different;down
21_150.jpg;same;up
21_150_R.jpg;different;down
22_0.jpg;same;up
22_0_R.jpg;different;down
22_50.jpg;same;up
22_50_R.jpg;different;down
22_100.jpg;same;up
22_100_R.jpg;different;down
22_150.jpg;same;up
22_150_R.jpg;different;down
23_0.jpg;same;up
23_0_R.jpg;different;down
23_50.jpg;same;up
23_50_R.jpg;different;down
23_100.jpg;same;up
23_100_R.jpg;different;down
23_150.jpg;same;up
23_150_R.jpg;different;down
24_0.jpg;same;up
24_0_R.jpg;different;down
24_50.jpg;same;up
24_50_R.jpg;different;down
24_100.jpg;same;up
24_100_R.jpg;different;down
24_150.jpg;same;up
24_150_R.jpg;different;down
